rho,gamma,alpha_r,accuracy
0.8,0.0,0.4,43.0
0.8,0.0,0.5,46.0
0.8,0.0,0.6,46.0
0.8,0.2,0.4,49.0
0.8,0.2,0.5,44.0
0.8,0.2,0.6,47.0
0.8,0.5,0.4,46.0
0.8,0.5,0.5,51.0
0.8,0.5,0.6,47.0
0.8,0.8,0.4,43.0
0.8,0.8,0.5,43.0
0.8,0.8,0.6,52.0
0.8,1.0,0.4,48.0
0.8,1.0,0.5,49.0
0.8,1.0,0.6,41.0
0.8,1.5,0.4,45.0
0.8,1.5,0.5,44.0
0.8,1.5,0.6,41.0
0.9,0.0,0.4,46.0
0.9,0.0,0.5,46.0
0.9,0.0,0.6,43.0
0.9,0.2,0.4,43.0
0.9,0.2,0.5,50.0
0.9,0.2,0.6,43.0
0.9,0.5,0.4,43.0
0.9,0.5,0.5,44.0
0.9,0.5,0.6,56.00000000000001
0.9,0.8,0.4,48.0
0.9,0.8,0.5,46.0
0.9,0.8,0.6,45.0
0.9,1.0,0.4,52.0
0.9,1.0,0.5,48.0
0.9,1.0,0.6,56.00000000000001
0.9,1.5,0.4,46.0
0.9,1.5,0.5,49.0
0.9,1.5,0.6,42.0
0.95,0.0,0.4,40.0
0.95,0.0,0.5,41.0
0.95,0.0,0.6,42.0
0.95,0.2,0.4,42.0
0.95,0.2,0.5,41.0
0.95,0.2,0.6,42.0
0.95,0.5,0.4,51.0
0.95,0.5,0.5,46.0
0.95,0.5,0.6,48.0
0.95,0.8,0.4,50.0
0.95,0.8,0.5,42.0
0.95,0.8,0.6,51.0
0.95,1.0,0.4,43.0
0.95,1.0,0.5,48.0
0.95,1.0,0.6,48.0
0.95,1.5,0.4,46.0
0.95,1.5,0.5,52.0
0.95,1.5,0.6,44.0
0.98,0.0,0.4,47.0
0.98,0.0,0.5,52.0
0.98,0.0,0.6,48.0
0.98,0.2,0.4,50.0
0.98,0.2,0.5,44.0
0.98,0.2,0.6,45.0
0.98,0.5,0.4,46.0
0.98,0.5,0.5,45.0
0.98,0.5,0.6,43.0
0.98,0.8,0.4,49.0
0.98,0.8,0.5,52.0
0.98,0.8,0.6,53.0
0.98,1.0,0.4,52.0
0.98,1.0,0.5,53.0
0.98,1.0,0.6,49.0
0.98,1.5,0.4,44.0
0.98,1.5,0.5,47.0
0.98,1.5,0.6,42.0
1.0,0.0,0.4,41.0
1.0,0.0,0.5,43.0
1.0,0.0,0.6,52.0
1.0,0.2,0.4,47.0
1.0,0.2,0.5,47.0
1.0,0.2,0.6,46.0
1.0,0.5,0.4,44.0
1.0,0.5,0.5,50.0
1.0,0.5,0.6,50.0
1.0,0.8,0.4,50.0
1.0,0.8,0.5,47.0
1.0,0.8,0.6,46.0
1.0,1.0,0.4,44.0
1.0,1.0,0.5,44.0
1.0,1.0,0.6,45.0
1.0,1.5,0.4,52.0
1.0,1.5,0.5,50.0
1.0,1.5,0.6,54.0
1.2,0.0,0.4,61.0
1.2,0.0,0.5,46.0
1.2,0.0,0.6,42.0
1.2,0.2,0.4,50.0
1.2,0.2,0.5,51.0
1.2,0.2,0.6,46.0
1.2,0.5,0.4,56.00000000000001
1.2,0.5,0.5,51.0
1.2,0.5,0.6,56.00000000000001
1.2,0.8,0.4,57.99999999999999
1.2,0.8,0.5,48.0
1.2,0.8,0.6,43.0
1.2,1.0,0.4,48.0
1.2,1.0,0.5,49.0
1.2,1.0,0.6,48.0
1.2,1.5,0.4,53.0
1.2,1.5,0.5,48.0
1.2,1.5,0.6,44.0
1.5,0.0,0.4,64.0
1.5,0.0,0.5,56.99999999999999
1.5,0.0,0.6,44.0
1.5,0.2,0.4,45.0
1.5,0.2,0.5,50.0
1.5,0.2,0.6,52.0
1.5,0.5,0.4,44.0
1.5,0.5,0.5,49.0
1.5,0.5,0.6,50.0
1.5,0.8,0.4,45.0
1.5,0.8,0.5,47.0
1.5,0.8,0.6,48.0
1.5,1.0,0.4,41.0
1.5,1.0,0.5,43.0
1.5,1.0,0.6,49.0
1.5,1.5,0.4,54.0
1.5,1.5,0.5,43.0
1.5,1.5,0.6,55.00000000000001
