rho,gamma,alpha_r,accuracy
0.8,0.0,0.1,55.00000000000001
0.8,0.0,0.2,52.0
0.8,0.0,0.3,56.00000000000001
0.8,0.0,0.4,52.0
0.8,0.0,0.5,52.0
0.8,0.2,0.1,59.0
0.8,0.2,0.2,56.99999999999999
0.8,0.2,0.3,51.0
0.8,0.2,0.4,48.0
0.8,0.2,0.5,47.0
0.8,0.5,0.1,53.0
0.8,0.5,0.2,52.0
0.8,0.5,0.3,49.0
0.8,0.5,0.4,51.0
0.8,0.5,0.5,46.0
0.8,0.8,0.1,54.0
0.8,0.8,0.2,52.0
0.8,0.8,0.3,52.0
0.8,0.8,0.4,50.0
0.8,0.8,0.5,52.0
0.8,1.0,0.1,55.00000000000001
0.8,1.0,0.2,49.0
0.8,1.0,0.3,52.0
0.8,1.0,0.4,52.0
0.8,1.0,0.5,55.00000000000001
0.8,1.2,0.1,54.0
0.8,1.2,0.2,56.00000000000001
0.8,1.2,0.3,53.0
0.8,1.2,0.4,52.0
0.8,1.2,0.5,52.0
0.8,1.5,0.1,53.0
0.8,1.5,0.2,57.99999999999999
0.8,1.5,0.3,53.0
0.8,1.5,0.4,50.0
0.8,1.5,0.5,50.0
0.9,0.0,0.1,55.00000000000001
0.9,0.0,0.2,53.0
0.9,0.0,0.3,57.99999999999999
0.9,0.0,0.4,53.0
0.9,0.0,0.5,52.0
0.9,0.2,0.1,56.99999999999999
0.9,0.2,0.2,54.0
0.9,0.2,0.3,51.0
0.9,0.2,0.4,47.0
0.9,0.2,0.5,53.0
0.9,0.5,0.1,56.00000000000001
0.9,0.5,0.2,49.0
0.9,0.5,0.3,48.0
0.9,0.5,0.4,50.0
0.9,0.5,0.5,48.0
0.9,0.8,0.1,54.0
0.9,0.8,0.2,53.0
0.9,0.8,0.3,52.0
0.9,0.8,0.4,48.0
0.9,0.8,0.5,48.0
0.9,1.0,0.1,55.00000000000001
0.9,1.0,0.2,53.0
0.9,1.0,0.3,50.0
0.9,1.0,0.4,50.0
0.9,1.0,0.5,55.00000000000001
0.9,1.2,0.1,51.0
0.9,1.2,0.2,53.0
0.9,1.2,0.3,49.0
0.9,1.2,0.4,49.0
0.9,1.2,0.5,51.0
0.9,1.5,0.1,50.0
0.9,1.5,0.2,53.0
0.9,1.5,0.3,53.0
0.9,1.5,0.4,52.0
0.9,1.5,0.5,52.0
0.95,0.0,0.1,54.0
0.95,0.0,0.2,45.0
0.95,0.0,0.3,57.99999999999999
0.95,0.0,0.4,53.0
0.95,0.0,0.5,53.0
0.95,0.2,0.1,56.99999999999999
0.95,0.2,0.2,53.0
0.95,0.2,0.3,52.0
0.95,0.2,0.4,49.0
0.95,0.2,0.5,53.0
0.95,0.5,0.1,56.00000000000001
0.95,0.5,0.2,49.0
0.95,0.5,0.3,46.0
0.95,0.5,0.4,50.0
0.95,0.5,0.5,48.0
0.95,0.8,0.1,53.0
0.95,0.8,0.2,54.0
0.95,0.8,0.3,52.0
0.95,0.8,0.4,49.0
0.95,0.8,0.5,48.0
0.95,1.0,0.1,54.0
0.95,1.0,0.2,52.0
0.95,1.0,0.3,49.0
0.95,1.0,0.4,52.0
0.95,1.0,0.5,51.0
0.95,1.2,0.1,51.0
0.95,1.2,0.2,55.00000000000001
0.95,1.2,0.3,49.0
0.95,1.2,0.4,51.0
0.95,1.2,0.5,50.0
0.95,1.5,0.1,52.0
0.95,1.5,0.2,55.00000000000001
0.95,1.5,0.3,53.0
0.95,1.5,0.4,49.0
0.95,1.5,0.5,52.0
0.98,0.0,0.1,55.00000000000001
0.98,0.0,0.2,46.0
0.98,0.0,0.3,54.0
0.98,0.0,0.4,49.0
0.98,0.0,0.5,55.00000000000001
0.98,0.2,0.1,56.00000000000001
0.98,0.2,0.2,54.0
0.98,0.2,0.3,52.0
0.98,0.2,0.4,48.0
0.98,0.2,0.5,53.0
0.98,0.5,0.1,57.99999999999999
0.98,0.5,0.2,50.0
0.98,0.5,0.3,46.0
0.98,0.5,0.4,48.0
0.98,0.5,0.5,49.0
0.98,0.8,0.1,54.0
0.98,0.8,0.2,54.0
0.98,0.8,0.3,51.0
0.98,0.8,0.4,47.0
0.98,0.8,0.5,47.0
0.98,1.0,0.1,53.0
0.98,1.0,0.2,53.0
0.98,1.0,0.3,51.0
0.98,1.0,0.4,50.0
0.98,1.0,0.5,50.0
0.98,1.2,0.1,52.0
0.98,1.2,0.2,55.00000000000001
0.98,1.2,0.3,51.0
0.98,1.2,0.4,50.0
0.98,1.2,0.5,50.0
0.98,1.5,0.1,52.0
0.98,1.5,0.2,54.0
0.98,1.5,0.3,50.0
0.98,1.5,0.4,46.0
0.98,1.5,0.5,51.0
1.0,0.0,0.1,56.00000000000001
1.0,0.0,0.2,49.0
1.0,0.0,0.3,52.0
1.0,0.0,0.4,50.0
1.0,0.0,0.5,56.00000000000001
1.0,0.2,0.1,56.00000000000001
1.0,0.2,0.2,55.00000000000001
1.0,0.2,0.3,51.0
1.0,0.2,0.4,48.0
1.0,0.2,0.5,52.0
1.0,0.5,0.1,57.99999999999999
1.0,0.5,0.2,52.0
1.0,0.5,0.3,47.0
1.0,0.5,0.4,46.0
1.0,0.5,0.5,49.0
1.0,0.8,0.1,54.0
1.0,0.8,0.2,54.0
1.0,0.8,0.3,52.0
1.0,0.8,0.4,48.0
1.0,0.8,0.5,46.0
1.0,1.0,0.1,53.0
1.0,1.0,0.2,53.0
1.0,1.0,0.3,51.0
1.0,1.0,0.4,48.0
1.0,1.0,0.5,49.0
1.0,1.2,0.1,52.0
1.0,1.2,0.2,53.0
1.0,1.2,0.3,51.0
1.0,1.2,0.4,47.0
1.0,1.2,0.5,51.0
1.0,1.5,0.1,52.0
1.0,1.5,0.2,54.0
1.0,1.5,0.3,51.0
1.0,1.5,0.4,48.0
1.0,1.5,0.5,51.0
1.2,0.0,0.1,63.0
1.2,0.0,0.2,50.0
1.2,0.0,0.3,50.0
1.2,0.0,0.4,50.0
1.2,0.0,0.5,50.0
1.2,0.2,0.1,50.0
1.2,0.2,0.2,52.0
1.2,0.2,0.3,48.0
1.2,0.2,0.4,51.0
1.2,0.2,0.5,54.0
1.2,0.5,0.1,56.00000000000001
1.2,0.5,0.2,50.0
1.2,0.5,0.3,50.0
1.2,0.5,0.4,53.0
1.2,0.5,0.5,48.0
1.2,0.8,0.1,55.00000000000001
1.2,0.8,0.2,49.0
1.2,0.8,0.3,52.0
1.2,0.8,0.4,46.0
1.2,0.8,0.5,50.0
1.2,1.0,0.1,54.0
1.2,1.0,0.2,50.0
1.2,1.0,0.3,51.0
1.2,1.0,0.4,49.0
1.2,1.0,0.5,45.0
1.2,1.2,0.1,49.0
1.2,1.2,0.2,49.0
1.2,1.2,0.3,49.0
1.2,1.2,0.4,49.0
1.2,1.2,0.5,46.0
1.2,1.5,0.1,52.0
1.2,1.5,0.2,48.0
1.2,1.5,0.3,51.0
1.2,1.5,0.4,49.0
1.2,1.5,0.5,43.0
