rho,gamma,alpha_r,accuracy
0.8,0.0,0.6,54.0
0.8,0.0,0.7,53.0
0.8,0.0,0.8,50.0
0.8,0.2,0.6,47.0
0.8,0.2,0.7,45.0
0.8,0.2,0.8,44.0
0.8,0.5,0.6,44.0
0.8,0.5,0.7,44.0
0.8,0.5,0.8,46.0
0.8,0.8,0.6,49.0
0.8,0.8,0.7,52.0
0.8,0.8,0.8,49.0
0.8,1.0,0.6,52.0
0.8,1.0,0.7,50.0
0.8,1.0,0.8,53.0
0.8,1.2,0.6,48.0
0.8,1.2,0.7,45.0
0.8,1.2,0.8,54.0
0.8,1.5,0.6,49.0
0.8,1.5,0.7,51.0
0.8,1.5,0.8,54.0
0.9,0.0,0.6,55.00000000000001
0.9,0.0,0.7,54.0
0.9,0.0,0.8,53.0
0.9,0.2,0.6,50.0
0.9,0.2,0.7,49.0
0.9,0.2,0.8,44.0
0.9,0.5,0.6,43.0
0.9,0.5,0.7,45.0
0.9,0.5,0.8,48.0
0.9,0.8,0.6,49.0
0.9,0.8,0.7,49.0
0.9,0.8,0.8,49.0
0.9,1.0,0.6,50.0
0.9,1.0,0.7,48.0
0.9,1.0,0.8,47.0
0.9,1.2,0.6,50.0
0.9,1.2,0.7,45.0
0.9,1.2,0.8,48.0
0.9,1.5,0.6,50.0
0.9,1.5,0.7,49.0
0.9,1.5,0.8,56.00000000000001
0.95,0.0,0.6,56.00000000000001
0.95,0.0,0.7,53.0
0.95,0.0,0.8,56.00000000000001
0.95,0.2,0.6,53.0
0.95,0.2,0.7,46.0
0.95,0.2,0.8,46.0
0.95,0.5,0.6,44.0
0.95,0.5,0.7,48.0
0.95,0.5,0.8,51.0
0.95,0.8,0.6,47.0
0.95,0.8,0.7,47.0
0.95,0.8,0.8,51.0
0.95,1.0,0.6,50.0
0.95,1.0,0.7,44.0
0.95,1.0,0.8,50.0
0.95,1.2,0.6,50.0
0.95,1.2,0.7,45.0
0.95,1.2,0.8,53.0
0.95,1.5,0.6,50.0
0.95,1.5,0.7,45.0
0.95,1.5,0.8,53.0
0.98,0.0,0.6,56.99999999999999
0.98,0.0,0.7,55.00000000000001
0.98,0.0,0.8,55.00000000000001
0.98,0.2,0.6,49.0
0.98,0.2,0.7,46.0
0.98,0.2,0.8,45.0
0.98,0.5,0.6,47.0
0.98,0.5,0.7,44.0
0.98,0.5,0.8,50.0
0.98,0.8,0.6,45.0
0.98,0.8,0.7,46.0
0.98,0.8,0.8,49.0
0.98,1.0,0.6,51.0
0.98,1.0,0.7,47.0
0.98,1.0,0.8,51.0
0.98,1.2,0.6,49.0
0.98,1.2,0.7,45.0
0.98,1.2,0.8,53.0
0.98,1.5,0.6,50.0
0.98,1.5,0.7,45.0
0.98,1.5,0.8,53.0
1.0,0.0,0.6,57.99999999999999
1.0,0.0,0.7,56.99999999999999
1.0,0.0,0.8,56.00000000000001
1.0,0.2,0.6,48.0
1.0,0.2,0.7,48.0
1.0,0.2,0.8,46.0
1.0,0.5,0.6,47.0
1.0,0.5,0.7,45.0
1.0,0.5,0.8,47.0
1.0,0.8,0.6,45.0
1.0,0.8,0.7,48.0
1.0,0.8,0.8,48.0
1.0,1.0,0.6,49.0
1.0,1.0,0.7,48.0
1.0,1.0,0.8,53.0
1.0,1.2,0.6,47.0
1.0,1.2,0.7,46.0
1.0,1.2,0.8,54.0
1.0,1.5,0.6,50.0
1.0,1.5,0.7,47.0
1.0,1.5,0.8,51.0
1.2,0.0,0.6,54.0
1.2,0.0,0.7,55.00000000000001
1.2,0.0,0.8,56.00000000000001
1.2,0.2,0.6,56.00000000000001
1.2,0.2,0.7,52.0
1.2,0.2,0.8,51.0
1.2,0.5,0.6,51.0
1.2,0.5,0.7,45.0
1.2,0.5,0.8,50.0
1.2,0.8,0.6,47.0
1.2,0.8,0.7,45.0
1.2,0.8,0.8,44.0
1.2,1.0,0.6,45.0
1.2,1.0,0.7,49.0
1.2,1.0,0.8,51.0
1.2,1.2,0.6,41.0
1.2,1.2,0.7,46.0
1.2,1.2,0.8,53.0
1.2,1.5,0.6,47.0
1.2,1.5,0.7,49.0
1.2,1.5,0.8,54.0
